Date,Server_ID,CPU_Usage(%),RAM_Usage(%),Internal_Temp(C),External_Temp(C),Energy_Usage(kWh),Fan_Status,Failure_Probability,Comments
2024-10-01,Server_1,57.11,35.94,65.49,36.86,42.83,Working,0.41,No issue
2024-10-01,Server_2,45.19,54.23,77.09,36.71,49.25,Warning,1.0,No issue
2024-10-01,Server_3,23.43,87.77,65.78,19.8,54.51,Warning,0.5,Needs replacement
2024-10-01,Server_4,69.09,27.45,36.93,29.0,49.21,Working,0.0,No issue
2024-10-01,Server_5,48.74,22.32,37.07,39.14,47.18,Working,0.0,No issue
2024-10-01,Server_6,33.02,77.11,70.8,29.76,53.87,Working,0.71,No issue
2024-10-01,Server_7,89.11,77.25,52.5,39.79,75.05,Failed,0.02,Overheating
2024-10-01,Server_8,26.18,62.32,46.3,29.96,47.33,Warning,0.0,Overheating
2024-10-01,Server_9,37.12,86.92,40.03,35.37,49.56,Working,0.0,No issue
2024-10-01,Server_10,57.18,28.67,61.94,39.79,49.82,Working,0.42,No issue
2024-10-01,Server_11,91.83,53.24,65.89,34.4,71.17,Working,0.46,No issue
2024-10-01,Server_12,67.43,77.15,62.39,37.95,65.82,Working,0.34,No issue
2024-10-01,Server_13,49.33,25.4,66.59,18.36,50.12,Working,0.58,No issue
2024-10-01,Server_14,48.86,21.45,79.16,31.79,48.14,Working,1.0,No issue
2024-10-01,Server_15,70.54,68.82,40.86,25.77,71.56,Working,0.0,No issue
2024-10-01,Server_16,48.89,47.61,49.3,27.81,52.75,Working,0.0,No issue
2024-10-01,Server_17,35.94,34.85,48.43,24.75,40.32,Working,0.0,No issue
2024-10-01,Server_18,60.85,77.08,41.17,32.96,60.68,Working,0.0,No issue
2024-10-01,Server_19,89.36,44.64,51.57,26.44,76.8,Working,0.05,No issue
2024-10-01,Server_20,88.91,61.05,41.66,32.37,66.7,Working,0.0,No issue
2024-10-02,Server_1,44.9,38.7,44.82,39.65,54.93,Working,0.0,No issue
2024-10-02,Server_2,15.21,45.87,74.75,30.99,43.13,Working,0.8,No issue
2024-10-02,Server_3,44.25,75.87,30.44,33.72,53.57,Working,0.0,No issue
2024-10-02,Server_4,26.68,27.65,57.33,23.63,33.71,Working,0.21,No issue
2024-10-02,Server_5,78.0,56.03,55.89,23.86,71.29,Working,0.26,No issue
2024-10-02,Server_6,84.41,46.85,55.8,37.31,64.91,Working,0.2,No issue
2024-10-02,Server_7,15.05,76.95,64.11,15.31,46.37,Working,0.35,No issue
2024-10-02,Server_8,83.07,77.63,59.54,25.76,81.79,Working,0.48,No issue
2024-10-02,Server_9,12.46,73.38,33.9,25.85,32.57,Working,0.0,No issue
2024-10-02,Server_10,14.6,88.17,70.15,38.02,54.16,Working,0.62,No issue
2024-10-02,Server_11,75.15,81.8,78.55,35.75,64.87,Warning,0.8,Overheating
2024-10-02,Server_12,81.33,66.68,58.33,18.37,73.36,Warning,0.22,No issue
2024-10-02,Server_13,56.49,88.73,70.91,34.89,74.87,Working,0.68,No issue
2024-10-02,Server_14,50.58,55.45,59.12,27.19,60.36,Working,0.24,No issue
2024-10-02,Server_15,52.17,39.46,43.17,22.53,46.31,Working,0.0,No issue
2024-10-02,Server_16,54.8,56.88,47.29,37.87,44.95,Working,0.09,No issue
2024-10-02,Server_17,93.25,60.35,33.38,24.84,63.74,Warning,0.0,Slight vibration
2024-10-02,Server_18,73.45,20.09,56.06,25.37,52.36,Working,0.3,No issue
2024-10-02,Server_19,58.56,61.32,38.92,30.01,55.79,Working,0.0,No issue
2024-10-02,Server_20,83.99,67.16,39.32,35.34,63.27,Warning,0.0,Power fluctuation
2024-10-03,Server_1,43.96,35.28,56.06,31.83,52.89,Working,0.05,No issue
2024-10-03,Server_2,18.03,63.41,44.73,19.08,32.18,Working,0.0,No issue
2024-10-03,Server_3,88.2,49.67,49.36,20.81,71.41,Working,0.0,No issue
2024-10-03,Server_4,14.61,68.67,34.3,16.54,35.08,Warning,0.0,Overheating
2024-10-03,Server_5,33.22,79.75,63.39,23.39,55.21,Working,0.36,No issue
2024-10-03,Server_6,15.31,71.97,58.21,30.3,41.96,Warning,0.35,Power fluctuation
2024-10-03,Server_7,38.83,43.4,31.69,19.79,35.2,Working,0.0,No issue
2024-10-03,Server_8,77.62,72.05,40.58,33.69,74.31,Warning,0.0,Fan noise
2024-10-03,Server_9,71.82,55.31,61.27,31.95,64.74,Working,0.42,No issue
2024-10-03,Server_10,28.22,20.25,40.42,27.98,40.84,Working,0.0,No issue
2024-10-03,Server_11,62.4,55.18,68.84,21.82,69.21,Working,0.7,No issue
2024-10-03,Server_12,23.8,26.29,52.8,30.03,30.88,Warning,0.15,No issue
2024-10-03,Server_13,25.44,27.92,52.11,28.33,25.5,Working,0.1,No issue
2024-10-03,Server_14,49.78,34.1,74.91,26.89,45.63,Working,0.84,No issue
2024-10-03,Server_15,48.96,58.65,58.42,17.33,51.89,Working,0.3,No issue
2024-10-03,Server_16,63.29,22.21,38.74,22.49,44.48,Warning,0.0,Slight vibration
2024-10-03,Server_17,47.3,30.45,33.69,36.89,53.21,Working,0.0,No issue
2024-10-03,Server_18,32.34,85.36,79.25,20.13,65.07,Working,1.0,No issue
2024-10-03,Server_19,61.44,22.44,54.67,30.6,51.58,Failed,0.25,Fan noise
2024-10-03,Server_20,28.95,44.99,38.1,20.8,37.55,Warning,0.0,Needs replacement
2024-10-04,Server_1,91.95,28.82,77.7,38.38,75.54,Working,0.79,No issue
2024-10-04,Server_2,89.49,59.44,51.25,37.95,69.96,Working,0.14,No issue
2024-10-04,Server_3,13.16,51.94,78.81,35.04,31.77,Working,0.86,No issue
2024-10-04,Server_4,70.62,40.43,38.39,32.34,51.59,Working,0.0,No issue
2024-10-04,Server_5,87.72,60.49,39.15,27.28,73.88,Working,0.0,No issue
2024-10-04,Server_6,75.48,82.89,70.72,30.81,75.92,Working,0.72,No issue
2024-10-04,Server_7,16.72,62.45,78.13,28.83,45.92,Warning,0.96,Needs replacement
